year,city,country,avg_temp,20-Year MA
1816,Lahore,Pakistan,24.69,
1817,Lahore,Pakistan,22.74,
1818,Lahore,Pakistan,23.43,
1819,Lahore,Pakistan,22.83,
1820,Lahore,Pakistan,24.22,
1821,Lahore,Pakistan,23.71,
1822,Lahore,Pakistan,23.81,
1823,Lahore,Pakistan,24.41,
1824,Lahore,Pakistan,,
1825,Lahore,Pakistan,,
1826,Lahore,Pakistan,,
1827,Lahore,Pakistan,,
1828,Lahore,Pakistan,,
1829,Lahore,Pakistan,,
1830,Lahore,Pakistan,,
1831,Lahore,Pakistan,,
1832,Lahore,Pakistan,,
1833,Lahore,Pakistan,23.73,
1834,Lahore,Pakistan,23.73,
1835,Lahore,Pakistan,22.86,23.65090909
1836,Lahore,Pakistan,22.74,23.47363636
1837,Lahore,Pakistan,24.37,23.62181818
1838,Lahore,Pakistan,27.7,24.01
1839,Lahore,Pakistan,,24.128
1840,Lahore,Pakistan,23.52,24.058
1841,Lahore,Pakistan,24.03,24.09
1842,Lahore,Pakistan,25.04,24.213
1843,Lahore,Pakistan,23.71,24.143
1844,Lahore,Pakistan,23.23,24.06
1845,Lahore,Pakistan,23.49,24.0125
1846,Lahore,Pakistan,24.15,24.02307692
1847,Lahore,Pakistan,23.62,23.99428571
1848,Lahore,Pakistan,23.27,23.946
1849,Lahore,Pakistan,23.43,23.91375
1850,Lahore,Pakistan,23.59,23.89470588
1851,Lahore,Pakistan,23.61,23.87888889
1852,Lahore,Pakistan,23.56,23.86210526
1853,Lahore,Pakistan,23.66,23.85842105
1854,Lahore,Pakistan,23.86,23.86526316
1855,Lahore,Pakistan,24.35,23.94368421
1856,Lahore,Pakistan,22.86,23.95
1857,Lahore,Pakistan,23.2,23.88842105
1858,Lahore,Pakistan,,23.67666667
1859,Lahore,Pakistan,,23.67666667
1860,Lahore,Pakistan,,23.68588235
1861,Lahore,Pakistan,,23.664375
1862,Lahore,Pakistan,,23.57266667
1863,Lahore,Pakistan,,23.56285714
1864,Lahore,Pakistan,,23.58846154
1865,Lahore,Pakistan,,23.59666667
1866,Lahore,Pakistan,,23.54636364
1867,Lahore,Pakistan,,23.539
1868,Lahore,Pakistan,,23.56888889
1869,Lahore,Pakistan,,23.58625
1870,Lahore,Pakistan,23.88,23.6225
1871,Lahore,Pakistan,23.79,23.645
1872,Lahore,Pakistan,23.89,23.68625
1873,Lahore,Pakistan,24.02,23.73125
1874,Lahore,Pakistan,23.3,23.66125
1875,Lahore,Pakistan,24.29,23.65375
1876,Lahore,Pakistan,23.58,23.74375
1877,Lahore,Pakistan,23.75,23.8125
1878,Lahore,Pakistan,23.67,23.79666667
1879,Lahore,Pakistan,24,23.817
1880,Lahore,Pakistan,24.66,23.89363636
1881,Lahore,Pakistan,24.31,23.92833333
1882,Lahore,Pakistan,23.85,23.92230769
1883,Lahore,Pakistan,23.79,23.91285714
1884,Lahore,Pakistan,23.57,23.89
1885,Lahore,Pakistan,23.2,23.846875
1886,Lahore,Pakistan,23.73,23.84
1887,Lahore,Pakistan,23.83,23.83944444
1888,Lahore,Pakistan,23.92,23.84368421
1889,Lahore,Pakistan,23.95,23.849
1890,Lahore,Pakistan,23.73,23.8415
1891,Lahore,Pakistan,23.37,23.8205
1892,Lahore,Pakistan,24.46,23.849
1893,Lahore,Pakistan,22.92,23.794
1894,Lahore,Pakistan,23.54,23.806
1895,Lahore,Pakistan,24.23,23.803
1896,Lahore,Pakistan,24.62,23.855
1897,Lahore,Pakistan,23.81,23.858
1898,Lahore,Pakistan,24.37,23.893
1899,Lahore,Pakistan,24.69,23.9275
1900,Lahore,Pakistan,24.24,23.9065
1901,Lahore,Pakistan,24.06,23.894
1902,Lahore,Pakistan,24.58,23.9305
1903,Lahore,Pakistan,23.66,23.924
1904,Lahore,Pakistan,24.18,23.9545
1905,Lahore,Pakistan,23.59,23.974
1906,Lahore,Pakistan,24.02,23.9885
1907,Lahore,Pakistan,23.72,23.983
1908,Lahore,Pakistan,23.83,23.9785
1909,Lahore,Pakistan,23.51,23.9565
1910,Lahore,Pakistan,23.53,23.9465
1911,Lahore,Pakistan,24.07,23.9815
1912,Lahore,Pakistan,24.1,23.9635
1913,Lahore,Pakistan,23.61,23.998
1914,Lahore,Pakistan,23.7,24.006
1915,Lahore,Pakistan,24.82,24.0355
